address,country,hs_object_id,industry,phone,raw_email,technical_test___create_date,city,countryTuple
"Besson  Avenue, 1005",Ireland,457508,Poultry and fish,(+44) 8532 182466,abbey_porter75675783@vetan.org,2021-05-12,Limerick,"('Ireland', 'Limerick')"
"Sheraton   Hill, 1513",England,448185,Poultry and fish,(+44) 4868 808871,abdul_fisher1174469572@grannar.com,2021-01-10,Oxford,"('England', 'Oxford')"
"Edwin   Rue, 3956",England,454197,Milling,(+44) 4231 262651,abdul_fisher666937132@twipet.com,2021-12-07,,"('England', nan)"
"Parkgate  Street, 5955",Ireland,460181,Bakery products,(+44) 5147 107006,abdul_fox1689938287@mafthy.com,2021-07-12,Dublin,"('Ireland', 'Dublin')"
"Timothy  Lane, 9113",England,459017,Animal feeds,(+44) 1753 441164,abdul_fox1778689671@tonsy.org,2021-03-16,Plymouth,"('England', 'Plymouth')"
"Arlington  Pass, 1149",Ireland,457516,Meat,(+44) 3186 084424,abdul_fox283273357@joiniaa.com,2021-08-29,Dublin,"('Ireland', 'Dublin')"
"Fawn Crossroad, 1481",England,459016,Animal feeds,(+44) 3234 436060,abdul_graves300779932@vetan.org,2021-05-29,Oxford,"('England', 'Oxford')"
"Cheney  Hill, 5758",England,459767,Animal feeds,(+44) 8056 733305,abdul_graves475323926@jiman.org,2021-07-18,Milton Keynes,"('England', 'Milton Keynes')"
"Queensberry  Lane, 5180",Ireland,455775,Milling,(+44) 3464 107886,abdul_hunt121174360@brety.org,2021-09-26,Waterford,"('Ireland', 'Waterford')"
"Chatsworth  Way, 4027",England,452538,Meat,(+44) 6755 718302,abdul_hunt1407009784@bauros.biz,2021-11-10,Oxford,"('England', 'Oxford')"
"Camley   Pass, 2319",Ireland,461451,Bakery products,(+44) 5344 075031,abdul_hunt557709002@yahoo.com,2021-03-09,Waterford,"('Ireland', 'Waterford')"
"Oxford Crossroad, 2037",England,457607,Dairy products,(+44) 6012 470737,abdul_ianson1674910559@acrit.org,2021-04-26,Plymouth,"('England', 'Plymouth')"
"Yorkshire  Vale, 152",Ireland,461389,Meat,(+44) 6203 636026,abdul_ianson292705644@muall.tech,2021-12-07,,"('Ireland', nan)"
"Monroe Grove, 7389",Ireland,461757,Milling,(+44) 1117 502770,abdul_keys1097929039@sheye.org,2021-02-25,Limerick,"('Ireland', 'Limerick')"
"English   Lane, 549",England,461721,Dairy products,(+44) 6740 307150,abdul_keys969174867@fuliss.net,2021-12-13,,"('England', nan)"
"Baltic  Boulevard, 5947",England,462768,Fruit and vegetables,(+44) 1028 073402,abdul_mason1806772920@supunk.biz,2021-08-02,Oxford,"('England', 'Oxford')"
"Beechen  Route, 7347",Ireland,460855,Bakery products,(+44) 4818 074063,abdul_mason883847521@corti.com,2021-06-07,Cork,"('Ireland', 'Cork')"
